弹弹堂军衔加的哪个属性最多？,幸运
修炼药水1级增加多少经验,30
修炼药水2级增加多少经验,300
给装备染色需要什么道具,染色剂
小鸡的什么技能能免疫坑技能,不动如山
举办结婚典礼获得的情定终生有效期为,永久有效
圣斗士星矢看家技能是,天马流星拳
火影忍者鸣人头发的颜色为,黄色
”可爱迷人的反派角色”是,武藏和小次郎
“真相只有一个”出处,名侦探柯南
大白这个角色来源于哪个动画,超能陆战队
《龙珠》中的第二个儿子叫什么,孙悟天
《银魂》的神乐家乡名字,夜兔星
《银魂》里面的万事屋的白色的巨型的狗的名字是什么,定春
《银魂》的桂小太郎的宠物名叫,伊丽莎白
那个整天挖鼻屎的天然卷死鱼眼的baka武士叫,坂田银时
《海贼王》从哪一年开播？,1999年
中国引进的第一部日本动画是,铁臂阿童木
《哆啦A梦》中哆啦A梦从哪个世纪来的,22世纪
米老鼠有几个手指头,4个
肯德基创始人是什么军衔,上校
被誉为生命科学“登月计划”的是,人类基因组计划
最喜欢对那些自认为能力出众的人出手,叶良辰
头戴礼帽，足登大皮靴，走路像鸭子的著名喜剧演员是,卓别林
我们需要帮助谁上头条,汪峰
三国故事中赔了夫人又折兵的是,周瑜
以下哪个数学家不是法国人,黎曼
以下三个皇帝按时间先后顺序排列正确的是,康熙雍正乾隆
相对论主要是谁创立的,爱因斯坦
羽毛球界被称为超级丹的运动员是,林丹
我国唯一的五个地形的省区是,四川省
我国4个直辖市哪个面积最大,重庆
樱花木道初中暗恋失败次数多少,50
围棋有多少个旗子,361
以下哪项不属于诺贝尔奖的范畴,数学
奥运会旗是“五色环旗”，其中黄色代表的是,亚洲
空调的发明人是哪国人,美国
北极熊的毛是什么颜色的,透明的
下列哪只球队未获得欧冠,阿森纳
下列哪位不是漫威的super hero,奥特曼
什么鹿不会感冒,三鹿
金木水火（）,土
相见时难别亦难，东风无力百花残。出自,李商隐《无题》
被称为天下第一行书的《兰亭序》是谁写的？,王羲之
天朝的手机号是,11位
刀郎的歌曲形容的是哪一年的第一场雪,2002年
世界上最大的无脊椎动物,乌贼
以下哪种行为可能被举报？,发布广告
地球和月球之间的距离为,384400千米
纯爷们从不回头看,爆炸
USB3.0接口颜色通常为,蓝色
团战可以输，（提莫）必须死,提莫
变脸是我国哪个表演剧种的绝活,川剧
中国古代有“五礼”之说，其中祭祀活动被称为,吉礼
ACG中的"A"是英文什么缩写,Animation
老衲在古代是指,和尚
